NM,length,ratio
244,25451,0.00958704962476916
500,14742,0.0339167005833673
580,33140,0.0175015087507544
358,19092,0.0187513094489839
722,22642,0.0318876424344139
805,19925,0.0404015056461731
69,21923,0.00314737946448935
1643,87076,0.0188685745785291
1802,385907,0.00466951882189232
5259,33908,0.155096142503244
479,20918,0.0228989387130701
2164,1250088,0.0017310781320995
417,27685,0.0150623081090843
606,27326,0.0221766815487082
394,29680,0.0132749326145553
117,10793,0.0108403594922635
364,32265,0.0112815744614908
1057,104258,0.0101383107291527
517,143672,0.00359847430257809
120,12516,0.00958772770853308
417,14480,0.0287983425414365
176,24050,0.00731808731808732
1960,746443,0.00262578656374298
182,19032,0.00956284153005464
243,49235,0.00493551335432111
446,30400,0.0146710526315789
358,35332,0.0101324578285973
514,13833,0.0371575218679968
2296,22362,0.102674179411502
2958,1321252,0.00223878563665372
1979,529341,0.00373861083875989
431,16356,0.0263511861090731
62259,2251765,0.0276489775798096
471,20056,0.0234842441164739
265,26375,0.0100473933649289
380,19203,0.0197885747018695
220,15045,0.0146227982718511
3037,2625855,0.00115657566773489
161,17465,0.00921843687374749
2177,1095533,0.00198716058758613
874,417038,0.00209573228338904
285,19216,0.0148313905079101
154756,4113307,0.037623255448718
144,21450,0.00671328671328671
1163,27246,0.0426851647948323
170,17679,0.00961592850274337
4569,2279102,0.00200473695341411
195,101941,0.00191287117057906
160,12411,0.0128917895415357
3778,1936007,0.00195143922516809
346,12281,0.0281736014982493
496,63943,0.00775690849662981
92,21277,0.00432391784556094
380,55627,0.00683121505743614
436,53562,0.00814009932414772
309,37001,0.00835112564525283
612,136169,0.00449441502838385
430,233537,0.00184124999464753
2419,21685,0.111551763892091
755,16908,0.0446534185001183
2133,14444,0.147673774577679
420,8512,0.0493421052631579
456,5296,0.0861027190332326
879,12341,0.0712259946519731
265,5049,0.0524856407209348
1489,12312,0.120938921377518
221,4252,0.0519755409219191
235,3155,0.0744849445324881
4003,63151,0.0633877531630536
1185,16035,0.0739008419083255
2895,29418,0.0984091372629003
708,12677,0.0558491756724777
603,12013,0.050195621410139
977,19170,0.0509650495565989
494,8999,0.0548949883320369
672,10208,0.0658307210031348
524,10005,0.0523738130934533
1201,14523,0.0826964125869311
366,7985,0.045835942391985
613,11883,0.0515862997559539
1358,22014,0.0616880167166349
682,10024,0.0680367118914605
704,11994,0.0586960146740037
690,12075,0.0571428571428571
375,6499,0.0577011847976612
1150,10893,0.105572385935922
501,9996,0.0501200480192077
1868,23547,0.0793307003015246
290,4858,0.0596953478797859
764,13813,0.0553102150148411
2122,20081,0.105672028285444
1544,24741,0.0624065316680813
214,4509,0.0474606342869816
677,11462,0.0590647356482289
805,12803,0.0628758884636413
1966,27795,0.070732146069437
933,12939,0.0721075817296545
2280,23571,0.0967290314369352
1201,19653,0.0611102630641632
1340,20486,0.0654105242604706
1163,16822,0.0691356556889787
505,7126,0.0708672467022172
1683,17511,0.0961110159328422
794,14062,0.0564642298392832
756,13983,0.0540656511478224
1160,16414,0.0706713780918728
9791,80652,0.121398105440659
1948,13532,0.143955069464972
1269,12185,0.104144439885105
667,10572,0.0630911842603103
1084,17861,0.0606908907675942
1559,17548,0.0888420332801459
608,4939,0.123101842478234
4985,54808,0.0909538753466647
5171,44327,0.11665576285334
849,9189,0.0923930786810317
1993,26004,0.076642055068451
644,11313,0.0569256607442765
602,5658,0.106398020501944
1393,10736,0.129750372578241
442,4365,0.101260022909507
2252,21396,0.105253318377267
53,1503,0.0352628077178975
1109,11904,0.0931619623655914
559,61402,0.00910393798247614
276,6457,0.0427443085024005
841,7338,0.114608885254838
215,5346,0.0402169846614291
445,7864,0.056586978636826
579,8453,0.0684963918135573
533,7608,0.0700578338590957
1001,13691,0.0731137243444599
1742,13687,0.127274055673267
314,8944,0.0351073345259392
304,8946,0.0339816677844847
165,8548,0.019302760879738
2072,14650,0.141433447098976
634,10407,0.0609205342557894
222,8055,0.02756052141527
194,8532,0.0227379278012189
358,8305,0.0431065623118603
387,8172,0.0473568281938326
1377,12917,0.106603700549663
297,8668,0.0342639593908629
541,6034,0.0896586012595293
304,7771,0.039119804400978
262,6973,0.0375734977771404
191,7219,0.026457958165951
144,6757,0.0213112327956194
112,6307,0.0177580466148724
116,6304,0.0184010152284264
682,8874,0.0768537299977462
1825,15463,0.118023669404385
166,7199,0.0230587581608557
719,7521,0.0955989894960777
265,7086,0.0373976855771945
427,8035,0.0531425015556938
387,7460,0.0518766756032172
776,10004,0.0775689724110356
276,6637,0.0415850534880217
332,7011,0.0473541577521038
539,6767,0.0796512487069603
520,6152,0.0845253576072822
1785,12054,0.14808362369338
398,7517,0.0529466542503658
811,10373,0.0781837462643401
1322,10709,0.123447567466617
744,9133,0.0814628271104785
454,7146,0.0635320458998041
671,8729,0.076870202772368
181,4457,0.0406102759703837
722,55894,0.0129173077611193
332,20729,0.0160162091755512
3595,76658,0.0468966057032534
505,49210,0.0102621418410892
728,80401,0.00905461374858522
169,52701,0.00320677027001385
34,16985,0.0020017662643509
171,24200,0.00706611570247934
743,24470,0.0303637106661218
105,48470,0.00216628842583041
1177,441199,0.00266773043456581
367,46325,0.00792228818132758
2490,37372,0.0666274215990581
783,23899,0.0327628771078288
93,36991,0.00251412505744641
246,45253,0.00543610368373368
423,13046,0.032423731411927
76,22785,0.00333552775949089
1828,627191,0.00291458263910037
260,13736,0.0189283634245778
755,150622,0.00501254796776035
368,71164,0.00517115395424653
452,43003,0.0105108945887496
82,37911,0.00216296061829021
197,38906,0.00506348635171953
524,13284,0.0394459500150557
252,4790,0.0526096033402923
45,24434,0.0018416959973807
305,78332,0.00389368329673697
223,25262,0.00882748792652997
487,15857,0.0307119883962919
341,40317,0.00845797058312871
207,28654,0.00722412228659175
2557,1457353,0.00175455088780824
454,20895,0.0217276860492941
324,81790,0.00396136446998411
3746,2365922,0.00158331508815591
621,21712,0.0286016949152542
167,24753,0.00674665697087222
138,12148,0.0113598946328614
688,20959,0.0328259936065652
4154,1587657,0.00261643415422853
5521,2397488,0.00230282695888363
627,397892,0.00157580448966051
3068,1369150,0.00224080633969981
171,23535,0.00726577437858509
1214,784761,0.00154696780293618
3781,1237799,0.00305461549088342
721,26469,0.0272394121425063
1726,558283,0.0030916219909974
2723,1124128,0.00242232201315153
752,293960,0.00255817117975235
2151,309281,0.0069548404202004
2518,287867,0.00874709501262736
794,43387,0.018300412565976
1381,634521,0.00217644490883674
1192,25836,0.0461371729369872
183,21255,0.00860973888496824
240,18287,0.0131240772133209
5782,2661270,0.00217264689415204
184,19329,0.00951937503233484
3817,2055679,0.00185680741010634
39421,3516273,0.0112110180296012
622,21342,0.0291444100834036
4889,2393555,0.00204256848077441
2450,1428947,0.00171454924500349
392,117946,0.00332355484713343
563,76371,0.00737190818504406
86,20548,0.00418532217247421
520,79923,0.00650626227744204
81,37694,0.00214888311137051
104,11831,0.00879046572563604
929,427852,0.00217131157503062
1504,327315,0.00459496203962544
213,14518,0.0146714423474308
1736,12359,0.140464438870459
1698,18051,0.0940668107030081
564,3396,0.166077738515901
1925,26326,0.0731216288080225
61,11533,0.00528917020723142
40,10946,0.00365430294171387
229,15862,0.0144370192913882
3219,58588,0.0549429917389227
443,19184,0.0230921601334445
11,16826,0.000653750148579579
766,22621,0.033862340303258
1828,27966,0.0653650861760709
2034,16464,0.123542274052478
773,9496,0.0814026958719461
1354,8055,0.168094351334575
2085,14050,0.148398576512456
611,66863,0.00913808832986854
1513,49127,0.0307977283367598
978,523846,0.00186696090072273
357,103837,0.00343808083823685
803,263819,0.00304375348250126
658,12785,0.0514665623777865
653,15842,0.0412195429869966
1766,997905,0.00176970753729062
2075,87686,0.0236639828478891
578,29212,0.0197863891551417
608,10468,0.0580817730225449
1936,66985,0.0289019929835038
312,10083,0.0309431716750967
176,36919,0.00476719304423197
661,55425,0.0119260261614795
2024,25051,0.0807951778372121
4306,2106422,0.00204422475648279
215,16585,0.0129635212541453
190,16603,0.0114437149912666
883,15506,0.0569456984393138
2552,1304785,0.00195587778829462
497,24883,0.0199734758670578
1108,323241,0.00342778298545048
775,155594,0.00498091186035451
117,562,0.208185053380783
107,597,0.179229480737018
887,550037,0.00161261878746339
759,273443,0.00277571559703485
44,17231,0.00255353722941211
130,48650,0.002672147995889
118,35989,0.00327877962710828
1014,631384,0.00160599571734475
1015,226176,0.00448765563101302
1676,428031,0.00391560424361787
2620,1006747,0.00260244132835757
542,52516,0.0103206641785361
2215,1368332,0.00161875919002114
493,25954,0.0189951452569931
141,34111,0.00413356395297705
150,55065,0.00272405339144647
224,37315,0.0060029478761892
397,33917,0.0117050446678657
436,24917,0.0174980936709877
834,36222,0.0230246811330131
558,226354,0.00246516518373875
2668,204688,0.0130344719768623
138,10682,0.0129189290395057
1276,266435,0.0047891605832567
654,59447,0.0110013962016586
186,58059,0.00320363767891283
340,17360,0.0195852534562212
876,97588,0.00897651350575891
2118,25329,0.0836195665047969
10230,3458092,0.0029582787271131
5746,3506889,0.00163848927068978
3393,2265315,0.00149780494103469
2344,1195456,0.00196075807056052
133221,6093976,0.0218610969258822
576,32291,0.0178377876188412
47164,3536930,0.0133347281399406
3338,1338062,0.00249465271414927
209,21957,0.00951860454524753
12605,1499216,0.00840772777238237
1468,670700,0.00218875801401521
910,26205,0.0347261972905934
5457,2930493,0.00186214401467603
217,15216,0.0142613038906414
158,16634,0.00949861728988818
45632,3260855,0.0139938758393121
413,20251,0.0203940546145869
257,21016,0.0122287780738485
6634,2896454,0.00229038679709742
343,20728,0.0165476649942107
703,79229,0.00887301366923727
675,17370,0.038860103626943
2548,41127,0.0619544338269264
337,30158,0.0111744810663837
622,62165,0.0100056301777528
4217,2805329,0.00150321049687933
201,57970,0.00346731067793686
89,68259,0.00130385736679412
14,11330,0.00123565754633716
171,46534,0.00367473245368978
857,68457,0.0125188074265597
1065,13979,0.0761857071321268
703,13448,0.0522754312908983
1405,22289,0.063035578087846
422,10430,0.0404602109300096
396,11444,0.0346032855644879
438,28310,0.0154715648180855
901,16893,0.0533357011780027
1065,25779,0.041312696380775
1804,39147,0.0460827138733492
385,8579,0.0448770252943233
359,10724,0.0334763148079075
778,14191,0.0548234796702135
459,27844,0.0164847004740698
698,20331,0.0343318085681964
234,31318,0.00747174149051664
300,9967,0.0300993277816795
272,22626,0.012021568107487
450,21893,0.0205545151418262
598,21739,0.0275081650489903
137,14138,0.00969019663318715
643,8329,0.077200144074919
1898,19826,0.0957328760213861
1015,14860,0.0683041722745626
700,13456,0.0520214030915577
575,8036,0.0715530114484818
1300,18736,0.0693851409052092
399,8936,0.0446508504923903
198,26357,0.00751223583867663
295,40613,0.0072636840420555
1033,9281,0.111302661351148
836,10399,0.0803923454178286
1714,21523,0.0796357385122892
1690,31824,0.0531045751633987
662,16857,0.0392715192501631
10188,55746,0.182757507265095
3207,49774,0.0644312291557841
617,8705,0.0708788052843194
1009,47685,0.0211596938240537
609,13730,0.0443554260742899
287,11083,0.0258955156546062
638,14298,0.0446216254021542
2122,63166,0.0335940221004971
295,20453,0.0144233119835721
2197,1574784,0.00139511196456149
259,29550,0.00876480541455161
240,23999,0.0100004166840285
3454,2334033,0.00147984197309978
2376,722125,0.0032902890773758
2300,1367089,0.00168240692449431
300,34531,0.0086878457038603
2227,51111,0.0435718338518127
304,24135,0.0125958152061322
194,24168,0.00802714333002317
343,24100,0.0142323651452282
982,23965,0.0409764239515961
198,23984,0.00825550366911274
246,25273,0.00973370790962687
215,22855,0.00940713191861737
43894,4297963,0.0102127449677906
2247,1108278,0.00202746964209341
3857,28937,0.133289560078792
5106,167466,0.0304897710580058
952,23332,0.0408023315618035
773,29537,0.0261705657311169
1039,29741,0.0349349383006624
677,12594,0.0537557567095442
430,11490,0.0374238468233246
3667,64156,0.0571575534634329
4287,580679,0.00738273641719435
1223,23486,0.0520735757472537
870,21504,0.0404575892857143
1179,440374,0.0026772697752365
289,27987,0.0103262228891986
222,20162,0.0110108124194028
544,22423,0.0242608036391205
2091,563982,0.0037075651350575
155,27847,0.0055661292060186
818,46301,0.0176670050322887
215,18676,0.011512101092311
4936,1183249,0.00417156490307619
1156,76988,0.015015327063958
6743,2212535,0.00304763540463767
3864,1774942,0.00217697254332818
3662,1792294,0.00204319157459658
217,23951,0.00906016450252599
332,27821,0.0119334315804608
784,19775,0.039646017699115
3399,1663555,0.00204321468181094
95,407,0.233415233415233
2477,43569,0.0568523491473295
484,18092,0.0267521556489056
1520,46409,0.0327522678790752
580,34582,0.016771730958302
604,33853,0.0178418456266801
817,28874,0.0282953522199903
2073,25811,0.0803145945527101
1486,19345,0.0768157146549496
1286,27761,0.046323979683729
1816,36801,0.0493464851498601
493,21591,0.0228335880691029
2336,19453,0.120084305762607
172,18680,0.00920770877944326
338,15614,0.0216472396567183
450,16424,0.0273989283974671
734,12333,0.0595151220303251
363,11579,0.0313498575006477
497,10555,0.0470866887730933
418,13048,0.0320355610055181
421,6162,0.0683219733852645
287,10102,0.0284102157988517
347,11152,0.0311154949784792
1039,11321,0.0917763448458617
302,6332,0.0476942514213519
1856,18718,0.0991558927235816
1491,30302,0.0492046729588806
377,18404,0.0204846772440774
471,8933,0.0527258479794022
511,18939,0.0269813612123132
325,11542,0.0281580315369953
1289,39256,0.0328357448542898
327,30777,0.0106248172336485
967,21698,0.0445663194764494
416,23062,0.0180383314543405
693,20712,0.0334588644264195
2275,37830,0.0601374570446735
494,22245,0.022207237581479
1233,15216,0.0810331230283912
218,10093,0.0215991281085901
345,10620,0.0324858757062147
421,8259,0.0509746942729144
793,16692,0.0475077881619938
549,10821,0.0507346825616856
1123,12850,0.0873929961089494
446,10203,0.0437126335391552
2426,52733,0.0460053476949918
777,24101,0.0322393261690386
10909,96697,0.112816323153769
1558,27470,0.0567164179104478
1366,17794,0.0767674497021468
1146,12008,0.0954363757495003
1847,30079,0.0614049669204428
4361,55217,0.0789792998533061
2924,1161585,0.00251725013666671
479,20592,0.0232614607614608
231,25029,0.00922929401893803
645,22330,0.028884908195253
3170,869325,0.00364650734765479
148,19136,0.00773411371237458
1151,52413,0.0219602007135634
260,22160,0.0117328519855596
24321,2208036,0.0110147660635968
463,24791,0.0186761324674277
2945,1847432,0.00159410468152549
221,26541,0.0083267397611243
443,22209,0.0199468683866901
846,136914,0.00617906130855866
967,405883,0.00238245996999135
8724,4088422,0.00213383060750578
1907,456361,0.00417870939891884
6332,3310002,0.00191298978067083
1257,72587,0.017317150453938
2274,1767603,0.00128648797269523
2112,998695,0.00211475976148874
304,9231,0.0329325100205828
114,25879,0.0044051161173152
3915,1691538,0.0023144617501942
69,16421,0.00420193654466841
3184,893950,0.0035617204541641
398,15310,0.0259960809928152
3548,849592,0.00417612218570796
1454,119012,0.0122172554028165
1893,66207,0.0285921428247768
685,84077,0.00814729355233893
409,38423,0.0106446659552872
278,2305,0.12060737527115
284,2163,0.131299121590384
264,2171,0.121602947950253
5,1813,0.00275785990071704
384,18061,0.0212612812136648
3169,1115430,0.00284105681217109
352,16205,0.0217216908361617
19211,2222656,0.00864326283509459
4386,1514421,0.00289615635282395
2348,453370,0.00517899287557624
1623,27480,0.059061135371179
1047,25807,0.0405703878792576
628,24222,0.0259268433655355
139,18637,0.00745828191232495
788,111690,0.00705524218819948
1158,225599,0.00513300147607037
476,22502,0.0211536752288685
4453,2237339,0.00199031081119133
202,17070,0.0118336262448741
5382,2618075,0.00205570887006675
2272,32902,0.069053552975503
1318,24310,0.0542163718634307
446,9709,0.0459367597074879
216,15742,0.0137212552407572
704,18065,0.0389703847218378
4942,511980,0.00965272080940662
4264,2169652,0.00196529212979777
7125,3172644,0.00224576094891201
385,22001,0.0174992045816099
212,26777,0.00791724240953057
436,13268,0.032861018993066
499,61836,0.00806973284171033
5605,2946073,0.00190253262563419
479,22122,0.0216526534671368
110,16350,0.00672782874617737
1037,255254,0.00406261997853119
262,34294,0.00763982037674229
4057,2436207,0.00166529363063155
46,23907,0.00192412264190404
4565,2274613,0.00200693480605272
5762,3441258,0.00167438768031923
375,29496,0.012713588283157
285,25238,0.011292495443379
20084,3786309,0.00530437425999833
362,27903,0.0129735153926101
534,38916,0.0137218624730188
210,32837,0.00639522489874227
177,75686,0.00233860951827286
478,22661,0.0210935086712855
2626,655010,0.0040090990977237
64,31893,0.00200670993634967
147,22352,0.00657659269863994
272,18692,0.014551679863043
612,28367,0.0215743645785596
462,22629,0.0204162799946971
189,20671,0.0091432441584829
2032,479197,0.00424042721469458
57,11573,0.00492525706385553
310,18277,0.0169612080757236
338,34239,0.00987178363854085
452,128340,0.00352189496649525
391,24186,0.0161663772430332
2299,985653,0.00233246385898486
3674,1096961,0.00334925307280751
4384,2139229,0.0020493364665494
246,23601,0.0104232871488496
642,84838,0.0075673636813692
1969,1004345,0.00196048170698316
261,30499,0.00855765762811896
1418,298983,0.00474274457076155
466,9960,0.0467871485943775
5257,2431983,0.00216161050467869
160,41786,0.00382903364763318
532,77119,0.00689842969955523
145,41642,0.00348206138033716
597,113339,0.00526738368963905
1248,108662,0.011485155804237
113,11941,0.00946319403735031
118,23527,0.00501551409019425
374,20281,0.0184409052808047
95,17219,0.00551716127533539
68,15143,0.00449052367430496
241,23734,0.0101542091514283
58,13191,0.00439693730573876
164,13478,0.0121679774447247
165,13735,0.0120131052056789
129,20003,0.00644903264510323
352,42682,0.00824703622135795
489,28945,0.0168941095180515
205,31304,0.00654868387426527
1064,16588,0.0641427537979262
330,24320,0.0135690789473684
219,13650,0.016043956043956
92,17724,0.00519070187316633
448,20295,0.0220744025622074
283,7086,0.0399379057296077
366,10157,0.0360342620852614
209,34870,0.00599369085173502
980,46562,0.0210472058760363
2559,278629,0.00918425576662874
773,113128,0.00683296796549042
321,92738,0.00346136427354483
484,21976,0.0220240262104114
626,26356,0.0237517073911064
3324,2171634,0.00153064466664272
176,29542,0.00595761966014488
3323,2079701,0.00159782584131084
51344,3321420,0.0154584484949208
3418,1149282,0.00297403074267238
2493,1034071,0.00241085960248378
50,23718,0.00210810355004638
396,24261,0.0163224928898232
2958,1200694,0.00246357523232397
194,20632,0.00940286932919736
528,71725,0.00736144998257232
6355,2387966,0.00266126067121559
2695,1592306,0.0016925138761017
465,5838,0.0796505652620761
3543,1680155,0.00210873401561165
1571,664104,0.00236559334080204
4087,1716525,0.00238097318710767
619,21800,0.028394495412844
1705,16563,0.102940288595061
1387,496254,0.00279493968814357
1021,636772,0.0016033996469694
228,65485,0.00348171336947393
65,5211,0.0124736135098829
563,245627,0.00229209329593245
263,19492,0.0134927149599836
229,6134,0.0373328985979785
354,36103,0.00980527933966706
1057,193277,0.00546883488464742
643,22802,0.0281992807648452
260,60168,0.00432123387847361
1458,37880,0.0384899683210137
2279,56243,0.040520598118877
587,69567,0.00843790877858755
1439,12490,0.115212169735789
336,6349,0.0529217199558986
727,8254,0.0880785073903562
512,20966,0.0244204903176572
356,13711,0.025964554007731
253,14634,0.0172885062183955
966,11733,0.0823318844285349
382,5128,0.0744929797191888
263,21511,0.0122263028218121
111,13847,0.00801617678919622
213,18962,0.0112329923003903
139,20570,0.00675741370928537
331,12056,0.0274552090245521
300,10722,0.0279798545047566
694,30714,0.0225955590284561
869,8795,0.0988061398521887
375,40834,0.00918352353430964
156,24467,0.00637593493276658
609,13001,0.0468425505730329
768,12771,0.0601362461827578
1315,61857,0.0212587096044102
584,148821,0.00392417736744142
270,141824,0.00190376805054152
610,88194,0.00691657028822822
422,28915,0.0145945011239841
146,48158,0.00303168736243199
257,176118,0.00145924891266083
775,399774,0.00193859530634809
26,60729,0.000428131535180886
2218,284545,0.00779490063083168
1949,835710,0.00233214871187374
604,228726,0.00264071421701075
150,49687,0.00301889830337915
94,12592,0.00746505717916137
1038,22085,0.0470002263980077
1516,593017,0.00255641912457822
15,11205,0.00133868808567604
384,49456,0.0077644775153672
2209,1726145,0.00127973026599735
241,9562,0.0252039322317507
560,19498,0.0287208944507129
57,18593,0.00306566987575969
842,416791,0.00202019717316353
137,9007,0.0152103919173976
300,5962,0.0503186850050319
320,27768,0.0115240564678767
193,29855,0.00646457879752135
597,14361,0.0415709212450386
697,18143,0.0384170203384225
166,81458,0.00203786000147315
353,92414,0.00381976756768455
1343,39356,0.0341244028864722
871,391023,0.00222749045452569
1584,101523,0.0156023758163175
426,17219,0.0247401126662408
1208,28090,0.0430046279814881
3018,1843056,0.00163749772117613
1404,764784,0.00183581246469591
1184,645129,0.00183529185635741
112,21641,0.00517536158218197
588,228404,0.00257438573755276
314,4469,0.0702618035354665
396,31008,0.0127708978328173
4975,2888609,0.0017222822472685
168,27419,0.00612713811590503
37322,2235719,0.0166935111255037
173,22668,0.00763190400564673
894,88104,0.0101470988831381
704,31644,0.0222475034761724
753,32388,0.023249351611708
324,11943,0.027128862094951
54,38019,0.00142034246034877
409,35978,0.0113680582578242
976,390303,0.00250062131216004
474,16462,0.0287935852265824
6150,2868085,0.0021442879133638
219,49770,0.00440024110910187
4409,1129999,0.00390177336440121
1434,38562,0.0371868679010425
1612,444990,0.00362255331580485
502,39101,0.0128385463287384
1772,436353,0.0040609323185586
5826,1457249,0.00399794407132892
1288,185788,0.00693263289340539
617,21343,0.028908775711006
1129,362193,0.00311712263903499
123,76089,0.00161652801324764
3185,824913,0.00386101322200038
998,15889,0.0628107495751778
443,145673,0.00304105771144962
696,14416,0.0482796892341843
3166,1028097,0.00307947596384388
141,19611,0.00718984243536791
4983,1234699,0.00403580143824527
225,19918,0.0112963148910533
82,23681,0.00346269160930704
3907,1901800,0.00205436954464192
256,16545,0.0154729525536416
657,18346,0.0358116210618118
943,15385,0.0612934676633084
1367,13613,0.100418717402483
619,9879,0.0626581637817593
611,8070,0.0757125154894672
2181,25045,0.0870832501497305
158,7137,0.0221381532856943
1513,16101,0.0939693186758586
